[5, 0.1]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.11]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.12]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.13]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.14]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.15]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.16]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.17]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.18]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.19]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.2]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.22]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.19683431588934144, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.24]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.18023304961941153, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.26]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.15087337942399953, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.28]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.12320719262667344, 'expected_wins_optimal': 0.6224577465175445}
